Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,0.999983,1.028045,0.997404,1.000009,1.000009,3998238141683
2021-05-01,0.999871,1.002000,0.998628,1.000533,1.000533,4807640078697
2021-06-01,1.000478,1.010425,0.998953,1.000216,1.000216,2087808439355
2021-07-01,1.000201,1.001404,0.998902,1.000272,1.000272,1522709290262
2021-08-01,1.000449,1.001938,0.999367,1.000529,1.000529,2283189000407
2021-09-01,1.000632,1.001837,0.998187,1.000155,1.000155,2518515510823
2021-10-01,1.000115,1.001668,0.998967,1.000376,1.000376,2409351307956
2021-11-01,1.000382,1.033019,0.998016,1.000286,1.000286,2507879034637
2021-12-01,1.000449,1.001999,0.998009,1.000189,1.000189,2119059424241
2022-01-01,1.000093,1.001117,0.999845,1.000485,1.000485,1810821329496
2022-02-01,1.000505,1.002683,1.000223,1.000351,1.000351,1587829928078
2022-03-01,1.000359,1.000897,0.999958,1.000304,1.000304,1931167889923
2022-04-01,1.000306,1.000681,0.999970,1.000155,1.000155,1870190579052
2022-05-01,1.000152,1.000374,0.948486,0.999388,0.999388,2164589786724
2022-06-01,0.999381,0.999611,0.997547,0.998819,0.998819,1568927670712
2022-07-01,0.998860,1.000360,0.998705,1.000328,1.000328,1563372605097
2022-08-01,1.000322,1.000574,0.999886,1.000016,1.000016,1522776220157
2022-09-01,1.000014,1.000420,0.999891,1.000049,1.000049,1570795629881
2022-10-01,1.000062,1.000346,0.999862,0.999947,0.999947,1324096629754
2022-11-01,0.999956,1.000515,0.981525,0.999604,0.999604,1589204859709
2022-11-30,0.999731,0.999734,0.999680,0.999696,0.999696,33519777792
