Date,Open,High,Low,Close,Adj Close,Volume,DailyLogReturn,DailyVariance,DailyVarAvg,DailyVolatility,VolatilityAn
12/2/2021,57217.37109,57349.23438,55895.13281,56477.81641,56477.81641,32379968686,null,null,0.12%,3.48%,55.09%
12/3/2021,56509.16406,57482.16797,52496.58594,53598.24609,53598.24609,39789134215,-5.23%,0.27%,,,
12/4/2021,53727.87891,53904.67969,42874.61719,49200.70313,49200.70313,61385677469,-8.56%,0.73%,,,
12/5/2021,49201.51953,49768.14844,47857.49609,49368.84766,49368.84766,37198201161,0.34%,0.00%,,,
12/6/2021,49413.48047,50929.51953,47281.03516,50582.625,50582.625,37707308001,2.43%,0.06%,,,
12/7/2021,50581.82813,51934.78125,50175.80859,50700.08594,50700.08594,33676814852,0.23%,0.00%,,,
12/8/2021,50667.64844,51171.375,48765.98828,50504.79688,50504.79688,28479699446,-0.39%,0.00%,,,
12/9/2021,50450.08203,50797.16406,47358.35156,47672.12109,47672.12109,29603577251,-5.77%,0.33%,,,
12/10/2021,47642.14453,50015.25391,47023.69922,47243.30469,47243.30469,30966005122,-0.90%,0.01%,,,
12/11/2021,47264.63281,49458.21094,46942.34766,49362.50781,49362.50781,25775869261,4.39%,0.19%,,,
12/12/2021,49354.85547,50724.86719,48725.85156,50098.33594,50098.33594,21939223599,1.48%,0.02%,,,
12/13/2021,50114.74219,50205,45894.84766,46737.48047,46737.48047,32166727776,-6.94%,0.48%,,,
12/14/2021,46709.82422,48431.39844,46424.49609,46612.63281,46612.63281,34638619079,-0.27%,0.00%,,,
12/15/2021,48379.75391,49473.95703,46671.96484,48896.72266,48896.72266,36541828520,4.78%,0.23%,,,
12/16/2021,48900.46484,49425.57422,47529.87891,47665.42578,47665.42578,27268150947,-2.55%,0.07%,,,
12/17/2021,47653.73047,48004.89453,45618.21484,46202.14453,46202.14453,32902725329,-3.12%,0.10%,,,
12/18/2021,46219.25391,47313.82813,45598.44141,46848.77734,46848.77734,26098292690,1.39%,0.02%,,,
12/19/2021,46853.86719,48089.66406,46502.95313,46707.01563,46707.01563,25154053861,-0.30%,0.00%,,,
12/20/2021,46707.0625,47401.71875,45579.80859,46880.27734,46880.27734,30961902129,0.37%,0.00%,,,
12/21/2021,46886.07813,49300.91797,46698.77344,48936.61328,48936.61328,27055803928,4.29%,0.18%,,,
12/22/2021,48937.09766,49544.79688,48450.94141,48628.51172,48628.51172,24447979559,-0.63%,0.00%,,,
12/23/2021,48626.34375,51332.33984,48065.83594,50784.53906,50784.53906,28223878108,4.34%,0.19%,,,
12/24/2021,50806.05078,51814.02734,50514.49609,50822.19531,50822.19531,24367912228,0.07%,0.00%,,,
12/25/2021,50854.91797,51176.59766,50236.70703,50429.85938,50429.85938,19030650914,-0.77%,0.01%,,,
12/26/2021,50428.69141,51196.37891,49623.10547,50809.51563,50809.51563,20964372926,0.75%,0.01%,,,
12/27/2021,50802.60938,51956.32813,50499.46875,50640.41797,50640.41797,24324345758,-0.33%,0.00%,,,
12/28/2021,50679.85938,50679.85938,47414.21094,47588.85547,47588.85547,33430376883,-6.22%,0.39%,,,
12/29/2021,47623.87109,48119.74219,46201.49609,46444.71094,46444.71094,30049226299,-2.43%,0.06%,,,
12/30/2021,46490.60547,47879.96484,46060.3125,47178.125,47178.125,26686491018,1.57%,0.02%,,,
12/31/2021,47169.37109,48472.52734,45819.95313,46306.44531,46306.44531,36974172400,-1.86%,0.03%,,,
1/1/2022,46311.74609,47827.3125,46288.48438,47686.8125,47686.8125,24582667004,2.94%,0.09%,,,
1/2/2022,47680.92578,47881.40625,46856.9375,47345.21875,47345.21875,27951569547,-0.72%,0.01%,,,
1/3/2022,47343.54297,47510.72656,45835.96484,46458.11719,46458.11719,33071628362,-1.89%,0.04%,,,
1/4/2022,46458.85156,47406.54688,45752.46484,45897.57422,45897.57422,42494677905,-1.21%,0.01%,,,
1/5/2022,45899.35938,46929.04688,42798.22266,43569.00391,43569.00391,36851084859,-5.21%,0.27%,,,
1/6/2022,43565.51172,43748.71875,42645.53906,43160.92969,43160.92969,30208048289,-0.94%,0.01%,,,
1/7/2022,43153.57031,43153.57031,41077.44531,41557.90234,41557.90234,84196607520,-3.78%,0.14%,,,
1/8/2022,41561.46484,42228.94141,40672.27734,41733.94141,41733.94141,28066355845,0.42%,0.00%,,,
1/9/2022,41734.72656,42663.94922,41338.16016,41911.60156,41911.60156,21294384372,0.42%,0.00%,,,
1/10/2022,41910.23047,42199.48438,39796.57031,41821.26172,41821.26172,32104232331,-0.22%,0.00%,,,
1/11/2022,41819.50781,43001.15625,41407.75391,42735.85547,42735.85547,26327648900,2.16%,0.05%,,,
1/12/2022,42742.17969,44135.36719,42528.98828,43949.10156,43949.10156,33499938689,2.80%,0.08%,,,
1/13/2022,43946.74219,44278.42188,42447.04297,42591.57031,42591.57031,47691135082,-3.14%,0.10%,,,
1/14/2022,42598.87109,43346.6875,41982.61719,43099.69922,43099.69922,23577403399,1.19%,0.01%,,,
1/15/2022,43101.89844,43724.67188,42669.03516,43177.39844,43177.39844,18371348298,0.18%,0.00%,,,
1/16/2022,43172.03906,43436.80859,42691.02344,43113.87891,43113.87891,17902097845,-0.15%,0.00%,,,
1/17/2022,43118.12109,43179.39063,41680.32031,42250.55078,42250.55078,21690904261,-2.02%,0.04%,,,
1/18/2022,42250.07422,42534.40234,41392.21484,42375.63281,42375.63281,22417209227,0.30%,0.00%,,,
1/19/2022,42374.03906,42478.30469,41242.91406,41744.32813,41744.32813,23091543258,-1.50%,0.02%,,,
1/20/2022,41744.02734,43413.02344,40672.82422,40680.41797,40680.41797,20382033940,-2.58%,0.07%,,,
1/21/2022,40699.60547,41060.52734,35791.42578,36457.31641,36457.31641,43011992031,-10.96%,1.20%,,,
1/22/2022,36471.58984,36688.8125,34349.25,35030.25,35030.25,39714385405,-3.99%,0.16%,,,
1/23/2022,35047.35938,36433.3125,34784.96875,36276.80469,36276.80469,26017975951,3.50%,0.12%,,,
1/24/2022,36275.73438,37247.51953,33184.05859,36654.32813,36654.32813,41856658597,1.04%,0.01%,,,
1/25/2022,36654.80469,37444.57031,35779.42969,36954.00391,36954.00391,26428189594,0.81%,0.01%,,,
1/26/2022,36950.51563,38825.41016,36374.90625,36852.12109,36852.12109,31324598034,-0.28%,0.00%,,,
1/27/2022,36841.87891,37148.32422,35629.28125,37138.23438,37138.23438,25041426629,0.77%,0.01%,,,
1/28/2022,37128.44531,37952.87891,36211.10938,37784.33203,37784.33203,22238830523,1.72%,0.03%,,,
1/29/2022,37780.71484,38576.26172,37406.47266,38138.17969,38138.17969,17194183075,0.93%,0.01%,,,
1/30/2022,38151.91797,38266.33984,37437.71094,37917.60156,37917.60156,14643548444,-0.58%,0.00%,,,
1/31/2022,37920.28125,38647.26172,36733.57422,38483.125,38483.125,20734730465,1.48%,0.02%,,,
2/1/2022,38481.76563,39115.13281,38113.66406,38743.27344,38743.27344,20288500328,0.67%,0.00%,,,
2/2/2022,38743.71484,38834.61719,36832.73047,36952.98438,36952.98438,19155189416,-4.73%,0.22%,,,
2/3/2022,36944.80469,37154.60156,36375.53906,37154.60156,37154.60156,18591534769,0.54%,0.00%,,,
2/4/2022,37149.26563,41527.78516,37093.62891,41500.875,41500.875,29412210792,11.06%,1.22%,,,
2/5/2022,41501.48047,41847.16406,41038.09766,41441.16406,41441.16406,19652846215,-0.14%,0.00%,,,
2/6/2022,41441.12109,42500.78516,41244.90625,42412.43359,42412.43359,16142097334,2.32%,0.05%,,,
2/7/2022,42406.78125,44401.86328,41748.15625,43840.28516,43840.28516,28641855926,3.31%,0.11%,,,
2/8/2022,43854.65234,45293.86719,42807.83594,44118.44531,44118.44531,33079398868,0.63%,0.00%,,,
2/9/2022,44096.70313,44727.80078,43232.96875,44338.79688,44338.79688,23245887300,0.50%,0.00%,,,
2/10/2022,44347.80078,45661.17188,43402.80859,43565.11328,43565.11328,32142048537,-1.76%,0.03%,,,
2/11/2022,43571.12891,43810.83203,42114.53906,42407.9375,42407.9375,26954925781,-2.69%,0.07%,,,
2/12/2022,42412.30078,42992.55078,41852.57422,42244.46875,42244.46875,18152390304,-0.39%,0.00%,,,
2/13/2022,42236.56641,42693.05469,41950.94141,42197.51563,42197.51563,14741589015,-0.11%,0.00%,,,
2/14/2022,42157.39844,42775.77734,41681.95703,42586.91797,42586.91797,20827783012,0.92%,0.01%,,,
2/15/2022,42586.46484,44667.21875,42491.03516,44575.20313,44575.20313,22721659051,4.56%,0.21%,,,
2/16/2022,44578.27734,44578.27734,43456.69141,43961.85938,43961.85938,19792547657,-1.39%,0.02%,,,
2/17/2022,43937.07031,44132.97266,40249.37109,40538.01172,40538.01172,26246662813,-8.11%,0.66%,,,
2/18/2022,40552.13281,40929.15234,39637.61719,40030.97656,40030.97656,23310007704,-1.26%,0.02%,,,
2/19/2022,40026.02344,40418.87891,39713.05859,40122.15625,40122.15625,13736557863,0.23%,0.00%,,,
2/20/2022,40118.10156,40119.89063,38112.8125,38431.37891,38431.37891,18340576452,-4.31%,0.19%,,,
2/21/2022,38423.21094,39394.4375,36950.47656,37075.28125,37075.28125,29280402798,-3.59%,0.13%,,,
